Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2013
1	11M	CAPITAL	VALLE ESCONDIDO	2.764
1	4E	CAPITAL	NUESTRO HOGAR III	1.512
1	14H	CAPITAL	MERCANTIL	1.211
21	326C	SANTA MARIA	SAN NICOLAS	879
1	13O	CAPITAL	CHACHAPOYAS	904
12	158B	PUNILLA	ESTANCIA VIEJA	658
21	316F	SANTA MARIA	VALLE DE ANIZACATE	488
1	5H	CAPITAL	VILLA BOEDO	1.527
1	10M	CAPITAL	AMPLIACION CABILDO	982
19	276	SAN JAVIER	YACANTO	787
2	20B	CALAMUCHITA	VI.CIUD.PQUE.LOS REARTES	653
1	12I	CAPITAL	CIUDAD DE MIS SUEÑOS	1.719
1	4F	CAPITAL	CIUDAD OBISPO ANGELELLI	1.735
1	4D	CAPITAL	VILLA EUCARISTICA	1.451
3	40A	COLON	MENDIOLAZA	6.903
1	11L	CAPITAL	COUNTRYS DEL OESTE	2.224
1	6E	CAPITAL	LA FLORESTA SUD	1.677
18	263C	SAN ALBERTO	ARROYO DE LOS PATOS	444
1	5I	CAPITAL	COLINAS DEL SUR	4.032
21	316A	SANTA MARIA	ANIZACATE	2.951
21	316G	SANTA MARIA	VILLA EL PRADO	959
21	326B	SANTA MARIA	BARRIO PRIMERO DE MAYO	1.045
19	269A	SAN JAVIER	QUEBRACHO LADEADO	155
12	147B	PUNILLA	VILLA PARQUE SIQUIMAN	1.240
4	46B	CRUZ DEL EJE	ALTO DE LOS QUEBRACHOS	270
12	156D	PUNILLA	SAN ANTONIO DE ARREDONDO	3.437
2	23	CALAMUCHITA	VILLA YACANTO	1.026
21	316J	SANTA MARIA	VILLA PARQUE SANTA ANA	1.883
2	20	CALAMUCHITA	LOS REARTES	1.031
1	10K	CAPITAL	VICOR	4.117
12	158C	PUNILLA	VILLA SANTA CRUZ DEL LAGO	2.022
21	328	SANTA MARIA	POTRERO DE GARAY	972
12	158A	PUNILLA	CABALANGO	303
1	13L	CAPITAL	VILLA GRAN PARQUE	372
21	316E	SANTA MARIA	LOS CEDROS	909
2	328A	CALAMUCHITA	LA CUMBRECITA	641
4	57	CRUZ DEL EJE	TUCLAME	592
12	156B	PUNILLA	CUESTA BLANCA	348
12	156C	PUNILLA	MAYU SUMAJ	895
10	138	MINAS	CIENAGA DEL CORO	751
3	31B	COLON	VILLA CERRO AZUL	240
1	8	CAPITAL	LA FLORESTA NORTE	598
3	28A	COLON	CALERA CENTRAL	10.290
4	46	CRUZ DEL EJE	GUANACO MUERTO	691
21	316B	SANTA MARIA	LA PAISANITA	131
3	35	COLON	MALVINAS ARGENTINAS	9.851
12	156A	PUNILLA	YCHO CRUZ	1.339
12	147A	PUNILLA	SAN ROQUE	856
2	18D	CALAMUCHITA	VILLA QUILLINZO	94
1	13D	CAPITAL	JARDIN ARENALES	2.199
12	149	PUNILLA	CASA GRANDE	545
3	34	COLON	JUAREZ CELMAN	8.007
21	316H	SANTA MARIA	VILLA LA BOLSA	823
11	146B	POCHO	SAN JERONIMO	162
3	41A	COLON	SALDAN	8.731
24	357	TOTORAL	SINSACATE	1.465
21	316D	SANTA MARIA	LA SERRANITA	344
1	14Q	CAPITAL	VILLA WARCALDE	1.028
21	316I	SANTA MARIA	VILLA LOS AROMOS	662
9	122	MARCOS JUAREZ	BARGE	161
1	11F	CAPITAL	LOS ROBLES	6.498
1	12A	CAPITAL	CARCANO	4.834
1	5C	CAPITAL	EMPALME	17.173
3	35A	COLON	MI GRANJA	763
3	38	COLON	SALSIPUEDES	7.167
12	151	PUNILLA	CHARBONIER	561
21	328B	SANTA MARIA	VILLA CIUDAD DE AMERICA	578
19	275A	SAN JAVIER	LOS CERRILLOS	1.717
1	14C	CAPITAL	ARGUELLO SEGUNDO	4.232
18	261A	SAN ALBERTO	SAN LORENZO	814
1	14A	CAPITAL	ARGUELLO NORTE	15.498
1	13G	CAPITAL	PARQUE LICEO	15.877
12	147	PUNILLA	BIALET MASSE	4.693
14	211	RIO PRIMERO	MONTE CRISTO	8.217
7	91C	ISCHILIN	VILLA GUTIERREZ	237
21	316C	SANTA MARIA	LA RANCHERITA	135
21	324	SANTA MARIA	FALDA DEL CARMEN	994
18	265C	SAN ALBERTO	SAUCE ARRIBA	672
4	54	CRUZ DEL EJE	SAN MARCOS SIERRAS	1.968
19	274A	SAN JAVIER	LA POBLACION	355
21	317	SANTA MARIA	BAJO CHICO	227
1	14E	CAPITAL	CERRO NORTE	5.863
2	15A	CALAMUCHITA	VILLA AMANCAY	416
2	24A	CALAMUCHITA	VILLA DEL DIQUE	2.889
1	14I	CAPITAL	SANTA CECILIA	4.610
2	20A	CALAMUCHITA	VILLA GENERAL BELGRANO	6.568
13	172	RIO CUARTO	HOLMBERG	3.996
20	295A	SAN JUSTO	TORO PUJIO	207
1	12H	CAPITAL	LOS CERVECEROS	9.223
4	44A	CRUZ DEL EJE	LAS PLAYAS	483
4	55A	CRUZ DEL EJE	LA BATEA	117
3	30	COLON	COLONIA TIROLESA	4.362
20	288A	SAN JUSTO	VILLA SAN ESTEBAN	115
2	26	CALAMUCHITA	SANTA ROSA	10.165
19	271	SAN JAVIER	LAS TAPIAS	1.347
10	138D	MINAS	TOSNO	152
3	41	COLON	VILLA ALLENDE	25.958
3	28	COLON	CALERA	15.668
1	5F	CAPITAL	RENACIMIENTO	4.087
24	352A	TOTORAL	LOS MISTOLES	132
13	179	RIO CUARTO	LAS HIGUERAS	5.273
15	227B	RIO SECO	CERRO COLORADO	295
26	372A	UNION	ANA ZUMARAN	135
12	152A	PUNILLA	VILLA GIARDINO	4.273
1	4C	CAPITAL	INAUDI	3.922
3	27	COLON	ASCOCHINGA	2.711
12	155	PUNILLA	SAN ESTEBAN	671
12	158	PUNILLA	TANTI	5.195
13	187	RIO CUARTO	PUEYRREDON	81
1	13K	CAPITAL	VILLA ESQUIU	1.845
21	331	SANTA MARIA	TOLEDO	3.660
1	8A	CAPITAL	PALMAR	3.617
1	14	CAPITAL	ARGUELLO	6.143
19	270	SAN JAVIER	LAS ROSAS	3.771
4	50A	CRUZ DEL EJE	LOS CHAÑARITOS	614
2	16A	CALAMUCHITA	VILLA LA MERCED	55
18	261	SAN ALBERTO	BROCHERO	5.158
21	330	SANTA MARIA	SAN ISIDRO	555
18	263E	SAN ALBERTO	LAS RABONAS	648
3	40	COLON	UNQUILLO	15.135
4	45	CRUZ DEL EJE	EL BRETE	895
3	37	COLON	RIO CEBALLOS	16.338
1	11G	CAPITAL	PARQUE REPUBLICA	11.928
19	272	SAN JAVIER	LOS HORNILLOS	978
6	73	GRAL SAN MARTIN	ARROYO ALGODON	1.145
1	11I	CAPITAL	RESIDENCIAL SAN ROQUE	13.803
2	24	CALAMUCHITA	RUMIPAL	2.176
1	10D	CAPITAL	CONGRESO	3.086
18	262	SAN ALBERTO	MINA CLAVERO	7.625
6	90	GRAL SAN MARTIN	VILLA NUEVA	15.811
18	263	SAN ALBERTO	NONO	2.130
21	319	SANTA MARIA	BOUWER	1.532
24	355	TOTORAL	SARMIENTO	951
1	12D	CAPITAL	JOSE IGNACIO DIAZ	23.466
13	178B	RIO CUARTO	VILLA EL CHACAY	80
26	401	UNION	SANTA MARIA	197
26	374	UNION	BALLESTEROS SUD	622
1	11	CAPITAL	AERONAUTICO	4.117
3	31A	COLON	AGUA DE ORO	1.896
18	265	SAN ALBERTO	SAN PEDRO	3.992
24	358	TOTORAL	SITON	491
15	229	RIO SECO	VILLA DE MARIA	4.421
1	14O	CAPITAL	VILLA 9 DE JULIO	7.001
10	141A	MINAS	EL CHACHO	134
12	157	PUNILLA	SANTA MARIA	7.312
10	142A	MINAS	TALAINI	131
19	269	SAN JAVIER	LA PAZ	2.574
18	263D	SAN ALBERTO	LAS CALLES	466
3	29	COLON	COLONIA CAROYA	15.523
