Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017	Electores 2019	Localidad / Comuna / Asentamiento
13	188	RIO CUARTO	RIO CUARTO	71707	74409	76305	77167	76969	76044	RIO CUARTO
6	89	GRAL SAN MARTIN	VILLA MARIA	57785	63397	67781	70985	72455	71738	VILLA MARIA
12	156	PUNILLA	VILLA CARLOS PAZ	44983	48896	53129	54764	56431	56360	VILLA CARLOS PAZ
21	316	SANTA MARIA	ALTA GRACIA	34151	37155	39656	41867	43769	44095	ALTA GRACIA
23	348	TERCERO ARRIBA	RIO TERCERO	36352	38592	40503	41933	42845	42836	RIO TERCERO
1	13J	CAPITAL	VILLA AZALAIS	27594	28602	29627	31065	31918	31345	Córdoba
26	375	UNION	BELL VILLE	25942	27159	29090	30587	31325	31326	BELL VILLE
13	165	RIO CUARTO	BANDA NORTE	23518	25940	28072	30030	30777	30630	RIO CUARTO
3	41	COLON	VILLA ALLENDE	20172	23028	25958	28954	30499	30771	VILLA ALLENDE
3	33	COLON	JESUS MARIA	23411	26313	27143	28407	29710	29477	JESUS MARIA
20	310	SAN JUSTO	SAN FRANCISCO SECC. SUR	26054	26663	27283	27763	28395	27583	SAN FRANCISCO
19	268	SAN JAVIER	DOLORES	22840	23687	25603	27232	28139	28105	DOLORES
20	310A	SAN JUSTO	SAN FRANCISCO SECC. NORTE	24016	25070	26071	27103	28054	28850	SAN FRANCISCO
1	12D	CAPITAL	JOSE IGNACIO DIAZ	19031	21122	23466	25343	26913	26883	Córdoba
1	10L	CAPITAL	VILLA EL LIBERTADOR	21629	23700	25144	25906	26710	26475	Córdoba
13	186	RIO CUARTO	PUEBLO ALBERDI	21565	23034	24454	25649	26548	26395	RIO CUARTO
4	44	CRUZ DEL EJE	CRUZ DEL EJE	21087	22377	24341	25016	26084	26292	CRUZ DEL EJE
9	133	MARCOS JUAREZ	MARCOS JUAREZ	20008	21440	22485	23149	23653	23673	MARCOS JUAREZ
1	11A	CAPITAL	ALTO ALBERDI	23288	23087	23631	23149	23555	23350	Córdoba
1	12B	CAPITAL	COLON	23755	23252	23471	22939	22935	22349	Córdoba
1	7B	CAPITAL	ALTA CORDOBA	21765	21793	22364	22648	22752	22470	Córdoba
1	10G	CAPITAL	OBSERVATORIO	20061	19872	21035	21058	21121	21078	Córdoba
1	4	CAPITAL	NUEVA CORDOBA	18133	18305	19728	20287	21029	21462	Córdoba
1	3	CAPITAL	SECCIONAL TERCERA	19027	18987	19883	19980	20676	20685	Córdoba
20	279	SAN JUSTO	ARROYITO	16042	17524	18878	19673	20379	20341	ARROYITO
1	12F	CAPITAL	JOSE HERNANDEZ	17414	17950	18912	19645	20222	20072	Córdoba
1	8B	CAPITAL	PUEYRREDON	19272	19225	19647	19575	19927	19621	Córdoba
12	150	PUNILLA	COSQUIN	15546	16523	17799	19042	19887	20334	COSQUIN
3	37	COLON	RIO CEBALLOS	13511	15306	16338	18297	19465	19870	RIO CEBALLOS
7	95	ISCHILIN	DEAN FUNES	16064	16880	17922	18352	19296	19324	DEAN FUNES
1	13G	CAPITAL	PARQUE LICEO	11663	14254	15877	17986	18982	18952	Córdoba
3	28	COLON	CALERA	12465	14177	15668	17439	18809	19277	CALERA
6	90	GRAL SAN MARTIN	VILLA NUEVA	13175	14162	15811	17530	18740	19531	VILLA NUEVA
1	5C	CAPITAL	EMPALME	10665	15675	17173	17670	18384	17984	Córdoba
17	248	ROQUE SAENZ PEÑA	LABOULAYE	16514	16994	17566	18058	18335	18173	LABOULAYE
1	14A	CAPITAL	ARGUELLO NORTE	11218	13415	15498	17290	18293	18390	Córdoba
1	10	CAPITAL	BELLA VISTA	17191	17124	17496	17380	18191	17951	Córdoba
16	243	RIO SEGUNDO	RIO SEGUNDO	14763	15592	16871	17700	18052	17977	RIO SEGUNDO
3	40	COLON	UNQUILLO	12439	13776	15135	16893	18018	18365	UNQUILLO
1	4A	CAPITAL	PUEBLO LAS FLORES	15425	16459	17240	17256	17963	17676	Córdoba
1	11J	CAPITAL	SANTA ANA	16901	16955	17400	17339	17627	17274	Córdoba
1	13H	CAPITAL	PATRICIOS	17040	17351	17594	17310	17543	17101	Córdoba
3	29	COLON	COLONIA CAROYA	12789	14318	15523	16651	17415	17629	COLONIA CAROYA
1	13A	CAPITAL	AYACUCHO	17010	17413	17868	16822	17047	16658	Córdoba
20	304	SAN JUSTO	MORTEROS	13255	14013	14947	15829	16673	16812	MORTEROS
1	7E	CAPITAL	MARQUES DE SOBREMONTE	13787	14704	15599	16154	16631	16583	Córdoba
1	11E	CAPITAL	LOS PLATANOS	14304	14907	15491	15734	16250	15997	Córdoba
1	1	CAPITAL	SECCIONAL PRIMERA	15602	15058	15806	15788	16095	16935	Córdoba
1	11I	CAPITAL	RESIDENCIAL SAN ROQUE	11187	12552	13803	14962	16007	15877	Córdoba
1	4B	CAPITAL	VILLA REVOL	14430	14841	15518	15600	15815	15528	Córdoba
1	5G	CAPITAL	SAN VICENTE	17419	17037	16564	15859	15742	15472	Córdoba
1	9F	CAPITAL	SAN MARTIN	15444	15194	15398	15226	15282	15104	Córdoba
20	298	SAN JUSTO	LAS VARILLAS	12421	13235	14008	14687	14980	14987	LAS VARILLAS
1	11C	CAPITAL	LAS PALMAS	13087	14037	14779	14810	14249	14082	Córdoba
1	9C	CAPITAL	LOS PARAISOS	14116	13993	14055	13942	14098	13736	Córdoba
12	154	PUNILLA	LA FALDA	12360	12812	13501	13848	14079	14005	LA FALDA
1	5	CAPITAL	ALTAMIRA	12947	12893	13463	13676	13933	13627	Córdoba
1	13C	CAPITAL	GENERAL BUSTOS	14527	14227	14212	13838	13927	13595	Córdoba
1	11G	CAPITAL	PARQUE REPUBLICA	9622	10748	11928	12985	13858	13898	Córdoba
3	28A	COLON	CALERA CENTRAL	7141	8555	10290	12301	13522	13733	CALERA
16	245	RIO SEGUNDO	VILLA DEL ROSARIO	10796	11385	12340	13005	13476	13592	VILLA DEL ROSARIO
3	35	COLON	MALVINAS ARGENTINAS	7134	8454	9851	11928	13138	13403	MALVINAS ARGENTINAS
16	240	RIO SEGUNDO	PILAR	9933	10830	11371	12441	13127	13372	PILAR
1	11D	CAPITAL	LOS NARANJOS	12993	12715	12869	12732	13002	12676	Córdoba
1	10E	CAPITAL	ESTACION FLORES	10284	10922	11531	12118	12899	13315	Córdoba
1	7G	CAPITAL	PANAMERICANO	10883	11036	11682	12300	12869	12671	Córdoba
1	10F	CAPITAL	MATIENZO	10837	11829	12203	12454	12833	12756	Córdoba
1	10J	CAPITAL	SANTA ISABEL	10608	11675	12297	12409	12620	12472	Córdoba
2	26	CALAMUCHITA	SANTA ROSA	8238	9317	10165	11640	12509	12780	SANTA ROSA
